Data as of,Start Date,End Date,State,County of Residence,Fips Code,COVID-19 Deaths,Total Deaths,Footnote
06/03/2021,01/01/2020,12/31/2020,AL,Autauga County,1001,59,651,
06/03/2021,01/01/2020,12/31/2020,AL,Baldwin County,1003,179,2691,
06/03/2021,01/01/2020,12/31/2020,AL,Barbour County,1005,42,378,
06/03/2021,01/01/2020,12/31/2020,AL,Bibb County,1007,48,297,
06/03/2021,01/01/2020,12/31/2020,AL,Blount County,1009,97,849,
06/03/2021,01/01/2020,12/31/2020,AL,Bullock County,1011,21,149,
06/03/2021,01/01/2020,12/31/2020,AL,Butler County,1013,55,312,
06/03/2021,01/01/2020,12/31/2020,AL,Calhoun County,1015,190,1783,
06/03/2021,01/01/2020,12/31/2020,AL,Chambers County,1017,81,597,
06/03/2021,01/01/2020,12/31/2020,AL,Cherokee County,1019,41,460,
06/03/2021,01/01/2020,12/31/2020,AL,Chilton County,1021,76,630,
06/03/2021,01/01/2020,12/31/2020,AL,Choctaw County,1023,33,188,
06/03/2021,01/01/2020,12/31/2020,AL,Clarke County,1025,45,436,
06/03/2021,01/01/2020,12/31/2020,AL,Clay County,1027,42,251,
06/03/2021,01/01/2020,12/31/2020,AL,Cleburne County,1029,28,235,
06/03/2021,01/01/2020,12/31/2020,AL,Coffee County,1031,77,707,
06/03/2021,01/01/2020,12/31/2020,AL,Colbert County,1033,88,817,
06/03/2021,01/01/2020,12/31/2020,AL,Conecuh County,1035,28,219,
06/03/2021,01/01/2020,12/31/2020,AL,Coosa County,1037,22,175,
06/03/2021,01/01/2020,12/31/2020,AL,Covington County,1039,95,679,
06/03/2021,01/01/2020,12/31/2020,AL,Crenshaw County,1041,29,249,
06/03/2021,01/01/2020,12/31/2020,AL,Cullman County,1043,129,1259,
06/03/2021,01/01/2020,12/31/2020,AL,Dale County,1045,92,635,
06/03/2021,01/01/2020,12/31/2020,AL,Dallas County,1047,104,632,
06/03/2021,01/01/2020,12/31/2020,AL,DeKalb County,1049,130,1024,
06/03/2021,01/01/2020,12/31/2020,AL,Elmore County,1051,102,1014,
06/03/2021,01/01/2020,12/31/2020,AL,Escambia County,1053,64,602,
06/03/2021,01/01/2020,12/31/2020,AL,Etowah County,1055,226,1687,
06/03/2021,01/01/2020,12/31/2020,AL,Fayette County,1057,45,269,
06/03/2021,01/01/2020,12/31/2020,AL,Franklin County,1059,54,461,
06/03/2021,01/01/2020,12/31/2020,AL,Geneva County,1061,57,467,
06/03/2021,01/01/2020,12/31/2020,AL,Greene County,1063,21,161,
06/03/2021,01/01/2020,12/31/2020,AL,Hale County,1065,42,252,
06/03/2021,01/01/2020,12/31/2020,AL,Henry County,1067,25,267,
06/03/2021,01/01/2020,12/31/2020,AL,Houston County,1069,179,1427,
06/03/2021,01/01/2020,12/31/2020,AL,Jackson County,1071,71,897,
06/03/2021,01/01/2020,12/31/2020,AL,Jefferson County,1073,798,8509,
06/03/2021,01/01/2020,12/31/2020,AL,Lamar County,1075,50,249,
06/03/2021,01/01/2020,12/31/2020,AL,Lauderdale County,1077,136,1335,
06/03/2021,01/01/2020,12/31/2020,AL,Lawrence County,1079,66,526,
06/03/2021,01/01/2020,12/31/2020,AL,Lee County,1081,153,1307,
06/03/2021,01/01/2020,12/31/2020,AL,Limestone County,1083,105,1085,
06/03/2021,01/01/2020,12/31/2020,AL,Lowndes County,1085,41,178,
06/03/2021,01/01/2020,12/31/2020,AL,Macon County,1087,45,319,
06/03/2021,01/01/2020,12/31/2020,AL,Madison County,1089,232,3763,
06/03/2021,01/01/2020,12/31/2020,AL,Marengo County,1091,35,332,
06/03/2021,01/01/2020,12/31/2020,AL,Marion County,1093,67,533,
06/03/2021,01/01/2020,12/31/2020,AL,Marshall County,1095,157,1414,
06/03/2021,01/01/2020,12/31/2020,AL,Mobile County,1097,503,5214,
06/03/2021,01/01/2020,12/31/2020,AL,Monroe County,1099,30,332,
06/03/2021,01/01/2020,12/31/2020,AL,Montgomery County,1101,356,2771,
06/03/2021,01/01/2020,12/31/2020,AL,Morgan County,1103,180,1735,
06/03/2021,01/01/2020,12/31/2020,AL,Perry County,1105,28,169,
06/03/2021,01/01/2020,12/31/2020,AL,Pickens County,1107,41,329,
06/03/2021,01/01/2020,12/31/2020,AL,Pike County,1109,47,426,
06/03/2021,01/01/2020,12/31/2020,AL,Randolph County,1111,56,358,
06/03/2021,01/01/2020,12/31/2020,AL,Russell County,1113,77,750,
06/03/2021,01/01/2020,12/31/2020,AL,Shelby County,1117,159,1841,
06/03/2021,01/01/2020,12/31/2020,AL,St. Clair County,1115,142,1221,
06/03/2021,01/01/2020,12/31/2020,AL,Sumter County,1119,27,191,
06/03/2021,01/01/2020,12/31/2020,AL,Talladega County,1121,137,1194,
06/03/2021,01/01/2020,12/31/2020,AL,Tallapoosa County,1123,80,628,
06/03/2021,01/01/2020,12/31/2020,AL,Tuscaloosa County,1125,265,2205,
06/03/2021,01/01/2020,12/31/2020,AL,Walker County,1127,172,1299,
06/03/2021,01/01/2020,12/31/2020,AL,Washington County,1129,25,209,
06/03/2021,01/01/2020,12/31/2020,AL,Wilcox County,1131,23,167,
06/03/2021,01/01/2020,12/31/2020,AL,Winston County,1133,41,380,
06/03/2021,01/01/2020,12/31/2020,AK,Aleutians East Borough,2013,0,10,
06/03/2021,01/01/2020,12/31/2020,AK,Aleutians West Census Area,2016,0,18,
06/03/2021,01/01/2020,12/31/2020,AK,Anchorage Borough,2020,139,2076,
06/03/2021,01/01/2020,12/31/2020,AK,Bethel Census Area,2050,15,144,
06/03/2021,01/01/2020,12/31/2020,AK,Bristol Bay Borough,2060,0,,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AK,Denali Borough,2068,0,,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AK,Dillingham Census Area,2070,,46,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AK,Fairbanks North Star Borough,2090,21,544,
06/03/2021,01/01/2020,12/31/2020,AK,Haines Borough,2100,0,24,
06/03/2021,01/01/2020,12/31/2020,AK,Hoonah-Angoon Census Area,2105,,21,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AK,Juneau Borough,2110,,207,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AK,Kenai Peninsula Borough,2122,21,470,
06/03/2021,01/01/2020,12/31/2020,AK,Ketchikan Gateway Borough,2130,,108,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AK,Kodiak Island Borough,2150,,76,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AK,Lake and Peninsula Borough,2164,0,18,
06/03/2021,01/01/2020,12/31/2020,AK,Matanuska-Susitna Borough,2170,34,761,
06/03/2021,01/01/2020,12/31/2020,AK,Nome Census Area,2180,0,83,
06/03/2021,01/01/2020,12/31/2020,AK,North Slope Borough,2185,,54,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AK,Northwest Arctic Borough,2188,,57,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AK,Petersburg Borough/Census Area,2195,,32,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AK,Prince of Wales-Hyder Census Area,2198,,61,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AK,Sitka Borough,2220,0,64,
06/03/2021,01/01/2020,12/31/2020,AK,Skagway Municipality,2230,0,,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AK,Southeast Fairbanks Census Area,2240,,68,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AK,Valdez-Cordova Census Area,2261,,59,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AK,Wrangell City and Borough,2275,0,25,
06/03/2021,01/01/2020,12/31/2020,AK,Yakutat Borough,2282,0,,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AK,Yukon-Koyukuk Census Area,2290,,54,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AZ,Apache County,4001,315,1172,
06/03/2021,01/01/2020,12/31/2020,AZ,Cochise County,4003,181,1634,
06/03/2021,01/01/2020,12/31/2020,AZ,Coconino County,4005,219,1178,
06/03/2021,01/01/2020,12/31/2020,AZ,Gila County,4007,131,975,
06/03/2021,01/01/2020,12/31/2020,AZ,Graham County,4009,54,383,
06/03/2021,01/01/2020,12/31/2020,AZ,Greenlee County,4011,,75,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AZ,La Paz County,4012,36,365,
06/03/2021,01/01/2020,12/31/2020,AZ,Maricopa County,4013,4829,40958,
06/03/2021,01/01/2020,12/31/2020,AZ,Mohave County,4015,363,4041,
06/03/2021,01/01/2020,12/31/2020,AZ,Navajo County,4017,390,1737,
06/03/2021,01/01/2020,12/31/2020,AZ,Pima County,4019,1268,12296,
06/03/2021,01/01/2020,12/31/2020,AZ,Pinal County,4021,431,4291,
06/03/2021,01/01/2020,12/31/2020,AZ,Santa Cruz County,4023,112,464,
06/03/2021,01/01/2020,12/31/2020,AZ,Yavapai County,4025,280,3719,
06/03/2021,01/01/2020,12/31/2020,AZ,Yuma County,4027,568,2453,
06/03/2021,01/01/2020,12/31/2020,AR,Arkansas County,5001,25,308,
06/03/2021,01/01/2020,12/31/2020,AR,Ashley County,5003,22,310,
06/03/2021,01/01/2020,12/31/2020,AR,Baxter County,5005,80,835,
06/03/2021,01/01/2020,12/31/2020,AR,Benton County,5007,294,2301,
06/03/2021,01/01/2020,12/31/2020,AR,Boone County,5009,68,552,
06/03/2021,01/01/2020,12/31/2020,AR,Bradley County,5011,28,185,
06/03/2021,01/01/2020,12/31/2020,AR,Calhoun County,5013,,83,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AR,Carroll County,5015,39,386,
06/03/2021,01/01/2020,12/31/2020,AR,Chicot County,5017,30,168,
06/03/2021,01/01/2020,12/31/2020,AR,Clark County,5019,21,302,
06/03/2021,01/01/2020,12/31/2020,AR,Clay County,5021,31,260,
06/03/2021,01/01/2020,12/31/2020,AR,Cleburne County,5023,39,425,
06/03/2021,01/01/2020,12/31/2020,AR,Cleveland County,5025,21,126,
06/03/2021,01/01/2020,12/31/2020,AR,Columbia County,5027,44,364,
06/03/2021,01/01/2020,12/31/2020,AR,Conway County,5029,13,288,
06/03/2021,01/01/2020,12/31/2020,AR,Craighead County,5031,135,1183,
06/03/2021,01/01/2020,12/31/2020,AR,Crawford County,5033,65,785,
06/03/2021,01/01/2020,12/31/2020,AR,Crittenden County,5035,90,638,
06/03/2021,01/01/2020,12/31/2020,AR,Cross County,5037,34,260,
06/03/2021,01/01/2020,12/31/2020,AR,Dallas County,5039,15,126,
06/03/2021,01/01/2020,12/31/2020,AR,Desha County,5041,14,175,
06/03/2021,01/01/2020,12/31/2020,AR,Drew County,5043,25,283,
06/03/2021,01/01/2020,12/31/2020,AR,Faulkner County,5045,92,1122,
06/03/2021,01/01/2020,12/31/2020,AR,Franklin County,5047,28,273,
06/03/2021,01/01/2020,12/31/2020,AR,Fulton County,5049,37,220,
06/03/2021,01/01/2020,12/31/2020,AR,Garland County,5051,152,1604,
06/03/2021,01/01/2020,12/31/2020,AR,Grant County,5053,18,227,
06/03/2021,01/01/2020,12/31/2020,AR,Greene County,5055,61,573,
06/03/2021,01/01/2020,12/31/2020,AR,Hempstead County,5057,21,268,
06/03/2021,01/01/2020,12/31/2020,AR,Hot Spring County,5059,59,519,
06/03/2021,01/01/2020,12/31/2020,AR,Howard County,5061,21,195,
06/03/2021,01/01/2020,12/31/2020,AR,Independence County,5063,83,529,
06/03/2021,01/01/2020,12/31/2020,AR,Izard County,5065,16,222,
06/03/2021,01/01/2020,12/31/2020,AR,Jackson County,5067,29,292,
06/03/2021,01/01/2020,12/31/2020,AR,Jefferson County,5069,139,1032,
06/03/2021,01/01/2020,12/31/2020,AR,Johnson County,5071,22,316,
06/03/2021,01/01/2020,12/31/2020,AR,Lafayette County,5073,12,131,
06/03/2021,01/01/2020,12/31/2020,AR,Lawrence County,5075,36,279,
06/03/2021,01/01/2020,12/31/2020,AR,Lee County,5077,18,175,
06/03/2021,01/01/2020,12/31/2020,AR,Lincoln County,5079,29,186,
06/03/2021,01/01/2020,12/31/2020,AR,Little River County,5081,39,227,
06/03/2021,01/01/2020,12/31/2020,AR,Logan County,5083,15,341,
06/03/2021,01/01/2020,12/31/2020,AR,Lonoke County,5085,88,804,
06/03/2021,01/01/2020,12/31/2020,AR,Madison County,5087,11,186,
06/03/2021,01/01/2020,12/31/2020,AR,Marion County,5089,25,331,
06/03/2021,01/01/2020,12/31/2020,AR,Miller County,5091,65,597,
06/03/2021,01/01/2020,12/31/2020,AR,Mississippi County,5093,93,670,
06/03/2021,01/01/2020,12/31/2020,AR,Monroe County,5095,11,138,
06/03/2021,01/01/2020,12/31/2020,AR,Montgomery County,5097,21,164,
06/03/2021,01/01/2020,12/31/2020,AR,Nevada County,5099,24,131,
06/03/2021,01/01/2020,12/31/2020,AR,Newton County,5101,19,144,
06/03/2021,01/01/2020,12/31/2020,AR,Ouachita County,5103,40,397,
06/03/2021,01/01/2020,12/31/2020,AR,Perry County,5105,11,140,
06/03/2021,01/01/2020,12/31/2020,AR,Phillips County,5107,39,310,
06/03/2021,01/01/2020,12/31/2020,AR,Pike County,5109,18,152,
06/03/2021,01/01/2020,12/31/2020,AR,Poinsett County,5111,56,419,
06/03/2021,01/01/2020,12/31/2020,AR,Polk County,5113,56,309,
06/03/2021,01/01/2020,12/31/2020,AR,Pope County,5115,65,768,
06/03/2021,01/01/2020,12/31/2020,AR,Prairie County,5117,15,154,
06/03/2021,01/01/2020,12/31/2020,AR,Pulaski County,5119,394,4479,
06/03/2021,01/01/2020,12/31/2020,AR,Randolph County,5121,45,292,
06/03/2021,01/01/2020,12/31/2020,AR,Saline County,5125,119,1316,
06/03/2021,01/01/2020,12/31/2020,AR,Scott County,5127,17,168,
06/03/2021,01/01/2020,12/31/2020,AR,Searcy County,5129,15,122,
06/03/2021,01/01/2020,12/31/2020,AR,Sebastian County,5131,136,1569,
06/03/2021,01/01/2020,12/31/2020,AR,Sevier County,5133,34,209,
06/03/2021,01/01/2020,12/31/2020,AR,Sharp County,5135,27,300,
06/03/2021,01/01/2020,12/31/2020,AR,St. Francis County,5123,36,316,
06/03/2021,01/01/2020,12/31/2020,AR,Stone County,5137,31,226,
06/03/2021,01/01/2020,12/31/2020,AR,Union County,5139,80,629,
06/03/2021,01/01/2020,12/31/2020,AR,Van Buren County,5141,13,240,
06/03/2021,01/01/2020,12/31/2020,AR,Washington County,5143,233,1943,
06/03/2021,01/01/2020,12/31/2020,AR,White County,5145,62,995,
06/03/2021,01/01/2020,12/31/2020,AR,Woodruff County,5147,,118,Counts 1-9 suppressed
06/03/2021,01/01/2020,12/31/2020,AR,Yell County,5149,45,289,
06/03/2021,01/01/2020,12/31/2020,CA,Alameda County,6001,689,11237,
06/03/2021,01/01/2020,12/31/2020,CA,Alpine County,6003,0,21,
06/03/2021,01/01/2020,12/31/2020,CA,Amador County,6005,37,512,
06/03/2021,01/01/2020,12/31/2020,CA,Butte County,6007,148,2343,
